task_id,mobility_status,signal_strength,critical_task,bandwidth_mbps,number_of_instructions_mips,task_size_MB,is_offloaded,offloading_target,decision_reason
290,low,-57.44811504,0,51.04985791,2825,544.5168076,1,peer_vehicle,Low mobility & excellent peer connectivity
291,low,-40.49115558,1,75.95814135,1447,319.7217356,0,local,Critical task - local execution required
292,high,-77.09888089,0,32.27809584,4325,219.6698571,0,local,Network conditions unsuitable
293,medium,-62.07834284,1,39.72853813,1812,427.0691389,0,local,Critical task - local execution required
294,low,-58.08221365,0,71.33504467,337,33.39379307,1,peer_vehicle,Low mobility & excellent peer connectivity
295,high,-74.05347889,0,26.25972772,1063,46.57715054,0,local,Network conditions unsuitable
296,medium,-63.01881856,1,42.8816473,591,71.47919957,0,local,Critical task - local execution required
297,medium,-64.75432549,0,44.56120476,1984,13.69886477,1,RSU,Medium mobility & RSU connectivity
298,low,-63.58408014,0,37.35284868,2053,237.4750943,1,peer_vehicle,Low mobility & excellent peer connectivity
299,low,-35.23101573,0,73.21358891,1279,111.3889218,1,peer_vehicle,Low mobility & excellent peer connectivity
300,high,-62.31354633,0,41.93629515,1738,106.3087521,1,cloud,High mobility - cloud optimal
301,high,-81.16789481,0,30.20283029,1608,374.3593161,1,cloud,High mobility - cloud optimal
302,medium,-77.21509953,0,30.74451305,2239,266.4313947,1,RSU,Medium mobility & RSU connectivity
303,high,-74.51684959,1,26.04224115,904,10.29322995,0,local,Critical task - local execution required
304,medium,-74.60747165,1,27.355691,1946,304.6947151,0,local,Critical task - local execution required
305,low,-65.44248223,1,31.91350326,672,14.78005821,0,local,Critical task - local execution required
306,low,-63.28661446,0,48.15881156,2542,279.1712837,1,peer_vehicle,Low mobility & excellent peer connectivity
307,low,-75.58628386,0,25.75020135,3935,579.8087915,1,peer_vehicle,Low mobility - peer vehicle available
308,high,-65.43674755,1,34.39748122,1053,244.9010558,0,local,Critical task - local execution required
309,high,-54.31661244,1,49.46748316,628,183.4396916,0,local,Critical task - local execution required
310,high,-86.94332562,0,23.98724675,341,11.27118015,0,local,Network conditions unsuitable
311,high,-71.54090142,0,40.08768128,2347,133.0988735,0,local,Network conditions unsuitable
312,low,-59.72211545,1,50.72780211,1080,234.3419021,0,local,Critical task - local execution required
313,low,-56.95001356,0,48.73741131,507,25.69418367,1,peer_vehicle,Low mobility & excellent peer connectivity
314,low,-57.11393197,0,52.94072408,2050,154.7504686,1,peer_vehicle,Low mobility & excellent peer connectivity
315,high,-59.01385875,0,45.57209224,872,182.8855527,0,local,Network conditions unsuitable
316,high,-79.39814287,0,21.23380066,3391,700.0301171,0,local,Network conditions unsuitable
317,medium,-75.8863033,1,22.04536642,668,224.416342,0,local,Critical task - local execution required
318,medium,-65.86978822,1,33.91255842,648,33.12745992,0,local,Critical task - local execution required
319,low,-58.65487505,0,56.2671764,4083,745.0093388,1,peer_vehicle,Low mobility & excellent peer connectivity
320,high,-84.87617015,0,17.92723048,1035,185.7565359,1,cloud,High mobility - cloud optimal
321,high,-74.9602844,0,21.1318521,4183,229.2293303,1,cloud,High mobility - cloud optimal
322,high,-82.10118041,1,18.52674795,1387,374.5754951,0,local,Critical task - local execution required
323,high,-63.1418026,0,41.43001186,3090,184.8478474,0,local,Network conditions unsuitable
324,high,-71.57842011,1,38.50169421,1883,268.0647172,0,local,Critical task - local execution required
325,low,-71.87324308,0,42.75049746,1468,369.2690026,1,peer_vehicle,Low mobility & excellent peer connectivity
326,high,-83.40740737,0,13.51595855,4658,99.31465332,0,local,Network conditions unsuitable
327,medium,-65.4642348,0,33.65292106,2568,364.2856044,1,RSU,Medium mobility & RSU connectivity
328,high,-78.09806195,0,12.10144464,2560,61.91045083,1,cloud,High mobility - cloud optimal
329,high,-54.91446234,0,55.75262556,1384,332.7233999,1,cloud,High mobility - cloud optimal
330,high,-82.24184531,1,11.66865129,972,165.6415843,0,local,Critical task - local execution required
331,high,-60.67714816,0,43.07028982,2647,332.2849862,0,local,Network conditions unsuitable
332,low,-42.20162089,1,60.47626784,1537,306.617103,0,local,Critical task - local execution required
333,high,-59.6529444,0,53.49039587,3995,453.8328909,1,cloud,High mobility - cloud optimal
334,low,-62.65808526,0,48.6125824,2029,448.8068469,1,peer_vehicle,Low mobility & excellent peer connectivity
335,high,-74.33897207,0,18.587983,1180,133.3199599,1,cloud,High mobility - cloud optimal
336,high,-55.02950118,0,64.06527142,3686,58.97116133,1,cloud,High mobility - cloud optimal
337,low,-54.73319354,0,67.3676012,693,145.6612225,1,peer_vehicle,Low mobility & excellent peer connectivity
338,high,-77.11567983,0,35.11270699,4601,710.9859662,0,local,Network conditions unsuitable
339,medium,-45.72123238,0,65.78702542,4935,137.4116514,1,RSU,Medium mobility & RSU connectivity
340,low,-69.38640804,0,47.18877005,1236,209.7126956,1,peer_vehicle,Low mobility & excellent peer connectivity
341,high,-50.06609954,1,51.72718595,1783,229.0687391,0,local,Critical task - local execution required
342,low,-71.97863899,0,48.45837374,2225,408.4985774,1,peer_vehicle,Low mobility & excellent peer connectivity
343,low,-37.23592612,0,78.16622368,3796,505.3990267,1,peer_vehicle,Low mobility & excellent peer connectivity
344,low,-48.60482176,1,62.06361259,1062,294.1647999,0,local,Critical task - local execution required
345,low,-68.33164585,0,42.11082583,803,128.4468437,1,peer_vehicle,Low mobility & excellent peer connectivity
346,high,-86.77593945,0,11.60726594,3078,315.4261093,0,local,Network conditions unsuitable
347,high,-59.37948404,0,40.75753564,1719,293.2719226,0,local,Network conditions unsuitable
348,low,-76.89688926,0,30.13806808,2561,27.03384445,1,peer_vehicle,Low mobility - peer vehicle available
349,medium,-73.97550645,1,30.69716412,704,68.22718094,0,local,Critical task - local execution required
350,medium,-78.74472782,1,27.46854931,1095,199.5856242,0,local,Critical task - local execution required
351,high,-67.5202861,0,47.54465327,3241,673.7561425,1,cloud,High mobility - cloud optimal
352,medium,-58.44841255,1,44.03665073,1443,364.3650964,0,local,Critical task - local execution required
353,high,-87.90968483,0,21.58523252,2461,580.1922535,1,cloud,High mobility - cloud optimal
354,low,-47.36799226,0,55.80496818,2452,276.5860777,1,peer_vehicle,Low mobility & excellent peer connectivity
355,high,-65.65890909,0,35.33257648,697,136.5506216,1,cloud,High mobility - cloud optimal
356,low,-74.83540077,1,23.71549958,1453,214.2056618,0,local,Critical task - local execution required
357,high,-58.33200046,0,39.29861152,2757,318.30768,1,cloud,High mobility - cloud optimal
358,low,-37.44358338,1,79.4801741,1589,45.27380423,0,local,Critical task - local execution required
359,low,-41.21058912,0,63.80633368,4766,486.3752397,1,peer_vehicle,Low mobility & excellent peer connectivity
360,medium,-53.54887202,0,63.76576405,2424,100.4967437,1,RSU,Medium mobility & RSU connectivity
361,high,-59.72993977,0,50.90870646,1849,80.12088829,1,cloud,High mobility - cloud optimal
362,low,-37.40129206,0,73.09962151,3967,690.855884,1,peer_vehicle,Low mobility & excellent peer connectivity
363,medium,-82.39181635,0,21.79659695,1111,258.2347765,1,RSU,Medium mobility & RSU connectivity
364,medium,-66.93212723,0,46.73172557,4502,199.7094704,1,RSU,Medium mobility & RSU connectivity
365,medium,-81.23855582,0,16.0240273,4754,209.8103218,1,RSU,Medium mobility & RSU connectivity
366,medium,-64.19237907,0,50.44362308,3625,655.4743074,1,RSU,Medium mobility & RSU connectivity
367,low,-41.42693344,1,67.60947722,1523,150.3317727,0,local,Critical task - local execution required
368,high,-60.69459061,1,43.93730356,1112,144.758653,0,local,Critical task - local execution required
369,low,-52.31158887,0,58.75826106,4058,881.7969894,1,peer_vehicle,Low mobility & excellent peer connectivity
370,high,-50.63558724,0,61.16720041,4464,324.0704618,0,local,Network conditions unsuitable
371,medium,-45.80870169,0,68.14865253,2500,22.47167467,1,RSU,Medium mobility & RSU connectivity
372,high,-81.60988209,0,15.88918321,326,35.02339344,0,local,Network conditions unsuitable
373,high,-57.23745945,0,43.26270814,3090,469.639226,1,cloud,High mobility - cloud optimal
374,high,-79.82712075,1,33.32648359,1087,109.718994,0,local,Critical task - local execution required
375,medium,-78.04953627,0,21.81827826,4236,701.9182995,1,RSU,Medium mobility & RSU connectivity
376,low,-52.38001615,0,53.85831134,995,108.5982343,1,peer_vehicle,Low mobility & excellent peer connectivity
377,medium,-66.1485133,1,33.39216915,771,31.50085658,0,local,Critical task - local execution required
378,medium,-72.40321646,0,35.71101451,1170,62.53599283,1,RSU,Medium mobility & RSU connectivity
379,low,-69.77691993,1,43.23807446,1015,263.1831812,0,local,Critical task - local execution required
380,high,-81.37880525,0,11.57759626,4728,39.53684236,1,cloud,High mobility - cloud optimal
381,high,-63.87348838,1,46.15685474,1344,332.0006798,0,local,Critical task - local execution required
382,low,-50.71541536,1,63.05499861,718,138.7211346,0,local,Critical task - local execution required
383,low,-75.00547389,0,38.85007669,939,41.43841575,1,peer_vehicle,Low mobility - peer vehicle available
384,medium,-52.90582683,0,55.54995849,2004,25.83583395,1,RSU,Medium mobility & RSU connectivity
385,medium,-48.27693791,0,58.58589664,3046,535.9399725,1,RSU,Medium mobility & RSU connectivity
386,low,-79.189705,1,30.97704883,1586,235.4959774,0,local,Critical task - local execution required
387,low,-51.72928503,0,51.7130035,1243,246.7865019,1,peer_vehicle,Low mobility & excellent peer connectivity
388,medium,-81.13862119,0,39.36393379,2467,338.7232869,1,RSU,Medium mobility & RSU connectivity
389,high,-57.01860768,0,57.54090437,140,10.92156883,0,local,Network conditions unsuitable
390,high,-55.90944502,0,45.821338,4108,911.5433933,1,cloud,High mobility - cloud optimal
391,high,-68.74733918,1,33.03831813,1278,354.0003932,0,local,Critical task - local execution required
392,medium,-50.77215625,0,45.5364614,1448,102.0373683,1,RSU,Medium mobility & RSU connectivity
393,low,-58.0231417,0,46.26574014,1158,275.8450687,1,peer_vehicle,Low mobility & excellent peer connectivity
394,medium,-62.12910592,0,45.66684641,1547,133.1732001,1,RSU,Medium mobility & RSU connectivity
395,low,-45.17541549,0,64.68991329,1673,259.1931009,1,peer_vehicle,Low mobility & excellent peer connectivity
396,low,-69.31549392,0,44.44440367,871,108.5104494,1,peer_vehicle,Low mobility & excellent peer connectivity
397,medium,-58.91102962,1,61.13939625,1610,174.7072863,0,local,Critical task - local execution required
398,medium,-49.34079938,0,65.68018999,4975,663.438128,1,RSU,Medium mobility & RSU connectivity
399,medium,-75.44573358,0,18.14549881,241,92.46370618,1,RSU,Medium mobility & RSU connectivity
400,medium,-76.72029686,0,7.19047429,2196,9.094126241,1,RSU,Medium mobility & RSU connectivity
401,medium,-83.5311455,0,28.43846206,2068,116.1341018,1,RSU,Medium mobility & RSU connectivity
402,low,-78.00255025,0,21.77669895,4748,859.6986862,1,peer_vehicle,Low mobility - peer vehicle available
403,medium,-49.80549291,0,59.72084611,2274,156.0473927,1,RSU,Medium mobility & RSU connectivity
404,high,-73.12687286,0,27.5255487,4651,692.8507685,1,cloud,High mobility - cloud optimal
405,high,-63.01568588,0,49.88408356,273,12.64985306,1,cloud,High mobility - cloud optimal
406,low,-77.32138848,0,30.571658,4133,618.1332012,1,peer_vehicle,Low mobility - peer vehicle available
407,low,-50.18009691,0,68.8401636,3908,359.356547,1,peer_vehicle,Low mobility & excellent peer connectivity
408,medium,-55.00596942,0,71.58562214,3968,608.0661235,1,RSU,Medium mobility & RSU connectivity
409,medium,-61.25356835,0,52.16143336,870,199.7487519,1,RSU,Medium mobility & RSU connectivity
410,medium,-48.90186771,0,63.1834878,3521,118.5959893,1,RSU,Medium mobility & RSU connectivity
411,high,-73.11862959,0,53.68252348,1336,297.6657966,1,cloud,High mobility - cloud optimal
412,high,-71.33568861,1,30.51196426,1817,392.62504,0,local,Critical task - local execution required
413,high,-62.30028693,0,35.69056103,4120,796.9413528,1,cloud,High mobility - cloud optimal
414,low,-69.81744013,0,43.57230523,2342,488.150621,1,peer_vehicle,Low mobility & excellent peer connectivity
415,low,-60.60566508,0,32.58794084,1241,247.1570681,1,peer_vehicle,Low mobility & excellent peer connectivity
416,low,-63.14512008,0,53.59582221,3080,464.1215027,1,peer_vehicle,Low mobility & excellent peer connectivity
417,low,-45.71419309,1,66.96419455,1413,245.4943151,0,local,Critical task - local execution required
418,medium,-71.37583334,0,17.42164003,4321,576.6724974,1,RSU,Medium mobility & RSU connectivity
419,high,-56.11442041,0,54.83768081,1154,229.239746,1,cloud,High mobility - cloud optimal
420,low,-58.14846352,0,59.48673057,542,113.1910445,1,peer_vehicle,Low mobility & excellent peer connectivity
421,medium,-81.02791189,0,21.57828531,3734,24.65779469,1,RSU,Medium mobility & RSU connectivity
422,medium,-66.65907964,0,45.90022019,2269,68.73706136,1,RSU,Medium mobility & RSU connectivity
423,low,-65.87149772,1,50.33919984,868,28.69097764,0,local,Critical task - local execution required
424,high,-65.72490634,0,44.08724993,2036,198.6040786,1,cloud,High mobility - cloud optimal
425,medium,-63.34369571,0,57.84768515,2490,266.1817207,1,RSU,Medium mobility & RSU connectivity
426,low,-68.32992962,0,55.85448562,440,67.66798013,1,peer_vehicle,Low mobility & excellent peer connectivity
427,medium,-46.34330457,0,72.079408,1403,380.4925048,1,RSU,Medium mobility & RSU connectivity
428,low,-43.24593814,0,53.50708185,3270,664.3557568,1,peer_vehicle,Low mobility & excellent peer connectivity
429,high,-67.22490555,0,35.7467975,1407,325.9027491,0,local,Network conditions unsuitable
430,high,-53.72228765,0,45.32659813,3262,684.7263762,0,local,Network conditions unsuitable
431,low,-55.99760171,1,55.26728227,975,21.74490504,0,local,Critical task - local execution required
432,medium,-57.76976428,0,47.54309432,982,139.8236713,1,RSU,Medium mobility & RSU connectivity
433,low,-58.24666538,1,35.9197418,1625,224.4265411,0,local,Critical task - local execution required
434,high,-67.49153204,0,49.10553356,2046,262.785088,1,cloud,High mobility - cloud optimal
435,medium,-61.90883883,1,45.2702414,1271,286.6609983,0,local,Critical task - local execution required
436,low,-58.55824773,1,52.01453532,615,5.690590991,0,local,Critical task - local execution required
437,low,-51.19107598,0,52.31255666,2590,23.87430044,1,peer_vehicle,Low mobility & excellent peer connectivity
438,high,-81.17018046,0,13.95825783,1237,168.2712036,0,local,Network conditions unsuitable
439,medium,-56.09172169,0,49.41024994,2099,427.03191,1,RSU,Medium mobility & RSU connectivity
440,high,-60.67795241,0,41.20983248,3334,765.1399279,1,cloud,High mobility - cloud optimal
441,medium,-51.86122802,0,61.88686776,4336,729.9483468,1,RSU,Medium mobility & RSU connectivity
442,high,-63.65837937,1,49.33521071,1046,191.6583716,0,local,Critical task - local execution required
443,medium,-81.45581144,0,20.94849056,513,9.840893378,1,RSU,Medium mobility & RSU connectivity
444,high,-68.03478655,0,32.39903498,4144,880.4741984,1,cloud,High mobility - cloud optimal
445,high,-51.79539171,0,54.1393783,2522,509.7394178,1,cloud,High mobility - cloud optimal
446,medium,-65.86960463,0,39.20092395,1597,171.9506883,1,RSU,Medium mobility & RSU connectivity
447,high,-80.70462708,0,29.79024624,2880,396.3657774,0,local,Network conditions unsuitable
448,medium,-63.04078202,0,42.80045246,2928,415.7374012,1,RSU,Medium mobility & RSU connectivity
449,high,-64.08730216,0,43.15895167,1689,36.06456893,1,cloud,High mobility - cloud optimal
450,medium,-75.32273279,0,37.64239685,1111,101.1731557,1,RSU,Medium mobility & RSU connectivity
451,high,-67.46844276,0,40.84827616,1135,164.9359261,1,cloud,High mobility - cloud optimal
452,high,-84.64686548,0,21.84340882,1364,192.9932974,1,cloud,High mobility - cloud optimal
453,medium,-73.95321769,0,24.38853925,4828,387.0640943,1,RSU,Medium mobility & RSU connectivity
454,low,-42.0779644,0,78.51114488,918,125.8615331,1,peer_vehicle,Low mobility & excellent peer connectivity
455,low,-63.02068757,1,46.49807371,717,139.6075658,0,local,Critical task - local execution required
456,medium,-47.79316138,1,57.98613708,1450,6.679858815,0,local,Critical task - local execution required
457,high,-83.32187645,0,21.54580377,622,213.5995321,0,local,Network conditions unsuitable
458,medium,-73.07791165,0,32.85347105,1416,23.22394989,1,RSU,Medium mobility & RSU connectivity
459,medium,-46.72800738,0,52.37555261,326,64.24408361,1,RSU,Medium mobility & RSU connectivity
460,low,-45.45945672,0,47.07920431,496,85.74787463,1,peer_vehicle,Low mobility & excellent peer connectivity
461,low,-63.29772733,1,50.74279018,1623,289.4104189,0,local,Critical task - local execution required
462,low,-52.6511545,0,67.27360737,1851,438.0115547,1,peer_vehicle,Low mobility & excellent peer connectivity
463,low,-46.83065523,1,64.90960324,1321,76.55812674,0,local,Critical task - local execution required
464,low,-39.94032488,0,69.3522941,1648,29.66584285,1,peer_vehicle,Low mobility & excellent peer connectivity
465,medium,-64.36552389,0,30.55881861,2105,371.041611,1,RSU,Medium mobility & RSU connectivity
466,low,-78.58601803,0,16.6262536,2761,348.6228655,1,RSU,Low mobility & good RSU
467,low,-79.55342805,0,24.71561348,2377,439.8210719,1,peer_vehicle,Low mobility - peer vehicle available
468,high,-79.30989481,0,29.20507915,3775,834.6117498,1,cloud,High mobility - cloud optimal
469,high,-89.3220934,1,10.91192692,1657,190.7004515,0,local,Critical task - local execution required
470,low,-65.05552856,0,43.47124384,4125,210.4023147,1,peer_vehicle,Low mobility & excellent peer connectivity
471,medium,-62.17401504,0,50.1193544,4502,28.48642781,1,RSU,Medium mobility & RSU connectivity
472,medium,-53.67206347,1,71.52354465,1979,106.6421858,0,local,Critical task - local execution required
473,medium,-78.90688857,1,27.80829049,1749,220.3174806,0,local,Critical task - local execution required
474,low,-46.3650017,0,65.56145132,1341,216.4582215,1,peer_vehicle,Low mobility & excellent peer connectivity
475,medium,-75.43364889,0,39.81519491,3971,72.22800212,1,RSU,Medium mobility & RSU connectivity
476,high,-80.98474928,0,33.60893623,2509,539.7776267,0,local,Network conditions unsuitable
477,medium,-72.39411843,0,33.29811557,3583,526.7118313,1,RSU,Medium mobility & RSU connectivity
478,high,-52.10419002,0,60.49679328,1823,252.638459,1,cloud,High mobility - cloud optimal
479,high,-62.40001051,0,45.08139042,2395,82.07376442,0,local,Network conditions unsuitable
480,high,-68.81361104,0,43.60777365,3744,805.8262755,0,local,Network conditions unsuitable
481,medium,-60.16365639,1,50.05749284,801,115.4546438,0,local,Critical task - local execution required
482,low,-78.02450258,0,38.91731111,1216,167.7869479,1,peer_vehicle,Low mobility - peer vehicle available
483,medium,-58.02604084,0,50.45015156,3663,800.0148849,1,RSU,Medium mobility & RSU connectivity
484,high,-51.94280759,1,59.14816916,1613,223.2125857,0,local,Critical task - local execution required
485,high,-81.23530082,0,15.9381864,1396,364.2827432,1,cloud,High mobility - cloud optimal
486,high,-50.90768368,1,69.44645028,1664,370.4361315,0,local,Critical task - local execution required
487,medium,-54.07643833,0,53.18098404,4382,937.7069861,1,RSU,Medium mobility & RSU connectivity
488,high,-55.7917206,0,40.68473416,2568,10.50081228,1,cloud,High mobility - cloud optimal
489,medium,-47.95223726,0,52.45405341,2469,308.0457138,1,RSU,Medium mobility & RSU connectivity
490,medium,-74.84715687,0,35.01953436,4544,487.7175292,1,RSU,Medium mobility & RSU connectivity
491,low,-74.66738194,0,36.35267745,2276,29.71019671,1,peer_vehicle,Low mobility & excellent peer connectivity
492,low,-63.27241701,0,42.6233062,728,12.84787837,1,peer_vehicle,Low mobility & excellent peer connectivity
493,medium,-67.22538603,0,49.28704113,1205,225.6280408,1,RSU,Medium mobility & RSU connectivity
494,low,-71.37831744,1,19.01668163,1789,385.2687582,0,local,Critical task - local execution required
495,medium,-54.92911308,0,45.40141569,4904,778.6722171,1,RSU,Medium mobility & RSU connectivity
496,high,-72.89992675,0,38.18745625,4054,260.8849366,1,cloud,High mobility - cloud optimal
497,medium,-49.2362279,1,59.4035634,631,187.0831758,0,local,Critical task - local execution required
498,low,-40.00006592,0,79.37312179,3280,448.9388577,1,peer_vehicle,Low mobility & excellent peer connectivity
499,medium,-71.73741204,1,13.0813947,1803,381.6658275,0,local,Critical task - local execution required
500,low,-77.85614342,0,28.16421308,3707,299.9168196,1,peer_vehicle,Low mobility - peer vehicle available
501,medium,-64.37362377,0,41.41408234,4376,747.7334574,1,RSU,Medium mobility & RSU connectivity
502,low,-61.25453772,0,51.82388326,1480,287.7431551,1,peer_vehicle,Low mobility & excellent peer connectivity
503,medium,-76.8568649,0,35.73161547,441,138.6159663,1,RSU,Medium mobility & RSU connectivity
504,medium,-76.02826067,0,27.46587817,2898,285.595758,1,RSU,Medium mobility & RSU connectivity
505,low,-52.56660448,1,52.35470384,705,34.58412829,0,local,Critical task - local execution required
506,medium,-71.52141097,1,40.04805258,1003,230.3899407,0,local,Critical task - local execution required
507,low,-55.58880484,0,42.97354478,3373,20.9086855,1,peer_vehicle,Low mobility & excellent peer connectivity
508,medium,-64.29614795,0,28.44891101,3651,40.00688048,1,RSU,Medium mobility & RSU connectivity
509,low,-52.93007543,0,64.2470566,2900,351.8517633,1,peer_vehicle,Low mobility & excellent peer connectivity
510,medium,-70.22876919,1,42.15239736,1611,71.34523156,0,local,Critical task - local execution required
511,low,-71.89119106,0,31.53505051,266,131.0398933,1,peer_vehicle,Low mobility & excellent peer connectivity
512,low,-78.61139431,0,27.42937949,2220,191.1393123,1,peer_vehicle,Low mobility - peer vehicle available
513,high,-50.85898126,1,67.43487886,674,105.0375061,0,local,Critical task - local execution required
514,medium,-63.02760914,0,51.86735001,1597,72.56184362,1,RSU,Medium mobility & RSU connectivity
515,high,-60.62224272,0,46.77099681,3486,401.9618187,0,local,Network conditions unsuitable
516,high,-68.62837792,0,41.28430785,2340,178.8737807,1,cloud,High mobility - cloud optimal
517,low,-74.66784386,1,33.76294825,1612,70.64583709,0,local,Critical task - local execution required
518,low,-66.05954634,0,38.30490009,3193,498.4949166,1,peer_vehicle,Low mobility & excellent peer connectivity
519,low,-68.72894455,0,47.22081842,4790,666.2770319,1,peer_vehicle,Low mobility & excellent peer connectivity
520,medium,-78.48739801,0,27.90512663,3297,299.7305845,1,RSU,Medium mobility & RSU connectivity
521,high,-73.53378158,1,39.83198447,1592,33.25721301,0,local,Critical task - local execution required
522,medium,-53.6496063,0,54.1370367,4051,306.8503397,1,RSU,Medium mobility & RSU connectivity
523,medium,-82.11555628,0,22.77928276,3865,641.666496,1,RSU,Medium mobility & RSU connectivity
524,high,-58.76016426,1,49.16365609,1259,348.457466,0,local,Critical task - local execution required
525,medium,-71.98984376,1,36.85150028,821,256.5993606,0,local,Critical task - local execution required
526,high,-85.46785981,0,17.09988296,2088,102.2993243,1,cloud,High mobility - cloud optimal
527,high,-81.82237704,0,23.20256072,307,103.6415537,1,cloud,High mobility - cloud optimal
528,low,-48.95995178,0,55.63736033,3466,140.6575771,1,peer_vehicle,Low mobility & excellent peer connectivity
529,low,-76.92496528,0,24.48157086,3654,540.5352805,1,peer_vehicle,Low mobility - peer vehicle available
530,low,-79.32001921,1,39.78128396,1806,313.4031926,0,local,Critical task - local execution required
531,low,-48.20165586,0,53.17765452,2655,6.26359211,1,peer_vehicle,Low mobility & excellent peer connectivity
532,medium,-80.31735834,0,16.27914742,4857,1006.410487,1,RSU,Medium mobility & RSU connectivity
533,medium,-54.10795939,0,51.0430803,3028,275.1608271,1,RSU,Medium mobility & RSU connectivity
534,low,-55.61044663,1,52.13458556,1943,355.9610503,0,local,Critical task - local execution required
535,high,-65.31003917,0,46.79833196,469,145.2453553,1,cloud,High mobility - cloud optimal
536,high,-54.39771898,0,45.78137781,4562,265.6261083,1,cloud,High mobility - cloud optimal
537,low,-47.4448482,0,77.0628534,2524,407.2711801,1,peer_vehicle,Low mobility & excellent peer connectivity
538,medium,-76.83901337,0,38.84481658,2904,597.9942575,1,RSU,Medium mobility & RSU connectivity
539,high,-89.45017784,0,7.070947908,4997,73.42877806,1,cloud,High mobility - cloud optimal
540,low,-47.02699363,0,56.60347079,4526,599.9221753,1,peer_vehicle,Low mobility & excellent peer connectivity
541,high,-76.67860513,1,26.91330118,818,145.7440756,0,local,Critical task - local execution required
542,high,-81.98871929,0,2.354783202,1114,239.5101476,0,local,Network conditions unsuitable
543,low,-76.91935763,0,28.92742617,394,51.7267408,1,peer_vehicle,Low mobility - peer vehicle available
544,low,-39.70942599,0,78.48042776,4763,829.8523162,1,peer_vehicle,Low mobility & excellent peer connectivity
545,low,-40.68246859,0,71.16370606,3797,559.7809941,1,peer_vehicle,Low mobility & excellent peer connectivity
546,high,-87.43974614,1,25.2487765,1011,136.9328619,0,local,Critical task - local execution required
547,high,-89.12346685,0,7.528746772,2235,507.4939608,1,cloud,High mobility - cloud optimal
548,medium,-54.42237088,0,54.72589901,220,41.17288712,1,RSU,Medium mobility & RSU connectivity
549,high,-83.58149543,0,24.04384067,2768,541.0601753,1,cloud,High mobility - cloud optimal
550,low,-43.73699603,0,59.20472644,2287,143.0762172,1,peer_vehicle,Low mobility & excellent peer connectivity
551,high,-68.5778474,0,46.09834265,2691,517.464209,0,local,Network conditions unsuitable
552,medium,-59.71133609,0,44.61197174,4509,943.1092259,1,RSU,Medium mobility & RSU connectivity
553,low,-75.38444168,0,30.94036133,761,133.9393707,1,peer_vehicle,Low mobility - peer vehicle available
554,high,-54.62493812,0,78.33214628,3042,434.4585875,1,cloud,High mobility - cloud optimal
555,high,-63.0541833,0,36.03883948,3418,6.551076482,0,local,Network conditions unsuitable
556,medium,-55.70395804,0,59.10577594,4857,582.3165523,1,RSU,Medium mobility & RSU connectivity
557,low,-61.36095835,0,55.31790294,4869,559.9472212,1,peer_vehicle,Low mobility & excellent peer connectivity
558,high,-80.18590743,0,38.4482923,246,53.40416672,0,local,Network conditions unsuitable
559,high,-67.12351185,1,51.43654229,518,139.8451287,0,local,Critical task - local execution required
560,medium,-68.52541038,1,33.74425768,1445,130.7800314,0,local,Critical task - local execution required
561,medium,-63.1325898,0,43.90328109,3488,272.2699318,1,RSU,Medium mobility & RSU connectivity
562,medium,-57.31705412,0,66.67104827,1448,299.142454,1,RSU,Medium mobility & RSU connectivity
563,medium,-54.08053115,1,59.40188788,670,20.81151255,0,local,Critical task - local execution required
564,medium,-66.02979916,0,51.43904361,3800,194.724894,1,RSU,Medium mobility & RSU connectivity
565,high,-54.7374618,0,62.7238068,604,193.6460332,1,cloud,High mobility - cloud optimal
566,high,-84.90454336,0,24.6806224,817,136.9291679,0,local,Network conditions unsuitable
567,low,-61.79441046,0,45.5521994,2204,435.5354779,1,peer_vehicle,Low mobility & excellent peer connectivity
568,high,-81.8610903,0,20.17887952,2681,307.5089688,1,cloud,High mobility - cloud optimal
569,medium,-55.27673841,1,56.55334731,581,84.29903769,0,local,Critical task - local execution required
570,high,-57.84741819,0,50.85615402,4416,551.8717925,1,cloud,High mobility - cloud optimal
571,high,-81.19554696,0,17.57058053,2721,244.3678717,1,cloud,High mobility - cloud optimal
572,medium,-83.18722884,0,18.69912253,3406,650.3076136,1,RSU,Medium mobility & RSU connectivity
573,high,-75.07035374,0,30.74708618,349,95.31573238,1,cloud,High mobility - cloud optimal
574,high,-75.99188036,0,24.17732319,3671,121.3570905,1,cloud,High mobility - cloud optimal
575,low,-52.07867967,0,53.96123222,319,67.05191819,1,peer_vehicle,Low mobility & excellent peer connectivity
576,high,-79.67075921,0,20.5591452,1912,317.2829687,0,local,Network conditions unsuitable
577,medium,-61.84772982,0,45.04353671,3440,563.1049205,1,RSU,Medium mobility & RSU connectivity
578,medium,-61.45980259,0,36.51127367,1054,268.4508917,1,RSU,Medium mobility & RSU connectivity
579,medium,-56.02622375,0,69.38757147,3349,297.764495,1,RSU,Medium mobility & RSU connectivity
580,high,-63.61956925,1,55.02678076,883,154.2014624,0,local,Critical task - local execution required
581,low,-56.00368703,0,46.29147859,4351,451.9983218,1,peer_vehicle,Low mobility & excellent peer connectivity
582,high,-63.81163699,1,49.29794944,1498,311.5215248,0,local,Critical task - local execution required
583,high,-57.13408268,0,57.35354751,260,68.55489528,1,cloud,High mobility - cloud optimal
